"t","m","merr"
2451211.65615,16.428,0.012
2451214.65705,16.478,0.013
2451217.63186,16.411,0.012
2451220.63673,16.538,0.012
2451223.66296,16.393,0.011
2451225.60395,16.404,0.01
2451227.68439,16.381,0.015
2451231.58033,16.401,0.012
2451234.62858,16.716,0.014
2451236.63607,16.69,0.017
2451240.58851,16.675,0.013
2451242.6902,16.462,0.013
2451244.63983,16.538,0.013
2451247.5704,16.394,0.014
2451256.55511,16.546,0.013
2451260.58062,16.43,0.012
2451265.55557,16.412,0.012
2451274.51822,16.413,0.015
2451277.53775,16.469,0.013
2451281.55095,16.554,0.015
2451288.53598,16.379,0.014
2451290.6034,16.386,0.013
2451296.54074,16.379,0.014
2451298.57864,16.405,0.016
2451301.52038,16.67,0.018
2451305.5662,16.471,0.014
2451308.49575,16.385,0.012
2451313.54222,16.432,0.015
2451316.53407,16.408,0.015
2451319.5104,16.426,0.012
2451329.48893,16.407,0.016
2451332.47182,16.447,0.014
2451340.48364,16.61,0.017
2451418.86599,16.413,0.013
2451431.84835,16.642,0.013
2451432.85436,16.409,0.013
2451435.83039,16.677,0.015
2451437.81433,16.678,0.014
2451440.86195,16.407,0.013
2451446.874,16.403,0.015
2451447.89956,16.493,0.016
2451451.89228,16.445,0.013
2451455.86263,16.445,0.018
2451459.80131,16.522,0.013
2451462.80556,16.421,0.013
2451470.86595,16.522,0.012
2451475.77858,16.406,0.011
2451478.73394,16.422,0.013
2451481.70755,16.417,0.012
2451484.85702,16.682,0.012
2451487.73699,16.388,0.011
2451490.7338,16.53,0.013
2451492.72693,16.581,0.013
2451495.72542,16.39,0.011
2451499.68318,16.416,0.015
2451502.67846,16.627,0.013
2451505.71904,16.404,0.012
2451507.85246,16.428,0.013
2451510.82847,16.434,0.011
2451512.72523,16.608,0.014
2451514.83633,16.414,0.012
2451517.67178,16.375,0.011
2451519.74542,16.418,0.011
2451521.68115,16.391,0.011
2451523.80192,16.488,0.013
2451525.79628,16.492,0.011
2451527.72521,16.442,0.011
2451528.77158,16.401,0.011
2451529.79268,16.561,0.011
2451531.78579,16.582,0.012
2451538.74232,16.404,0.011
2451541.69842,16.528,0.01
2451542.72829,16.387,0.011
2451544.65433,16.42,0.011
2451547.78122,16.68,0.012
2451548.75884,16.39,0.01
2451549.75312,16.721,0.011
2451552.61782,16.426,0.011
2451554.74432,16.407,0.011
2451555.75103,16.61,0.011
2451562.75394,16.407,0.013
2451564.63254,16.417,0.014
2451567.72512,16.466,0.013
2451570.63042,16.398,0.011
2451574.74187,16.446,0.01
2451577.69155,16.428,0.011
2451580.72762,16.458,0.011
2451583.61298,16.451,0.012
2451586.62849,16.429,0.011
2451589.6178,16.434,0.012
2451592.60953,16.449,0.011
2451593.65233,16.41,0.013
2451595.65546,16.406,0.013
2451599.59515,16.421,0.011
2451601.67311,16.418,0.013
